"Entity","Code","Year","article_per_million_people","patent_per_million_people","researcher_per_million_people","RD_spending_proportion","patent_ai_per_million_people","classification","Developed_Status"
"Argentina","ARG",2013,186.26875,15.1692915,1198.9836,0.61849,0.02348385,"Upper-middle-income countries","Developing Countries"
"Argentina","ARG",2016,194.317,20.243547,1260.701,0.55815,0.022778882,"Upper-middle-income countries","Developing Countries"
"Argentina","ARG",2017,195.75996,8.920745,1212.4573,0.55631,0.022579022,"High-income countries","Developed Countries"
"Argentina","ARG",2018,204.68555,9.569142,1227.4042,0.4883,0.1567578,"Upper-middle-income countries","Developing Countries"
"Argentina","ARG",2019,200.79688,9.878085,1231.5171,0.47813,0.17788266,"Upper-middle-income countries","Developing Countries"
"Argentina","ARG",2020,216.04367,20.650131,1256.2672,0.54154,0.2212783,"Upper-middle-income countries","Developing Countries"
"Austria","AUT",2013,1438.9905,254.9666,4783.214,2.95492,0.47161964,"High-income countries","Developed Countries"
"Austria","AUT",2014,1451.9148,244.791,5010.5073,3.08429,0.233978,"High-income countries","Developed Countries"
"Austria","AUT",2015,1485.7583,255.13681,5074.43,3.04969,0.34706005,"High-income countries","Developed Countries"
"Austria","AUT",2016,1450.073,237.85294,5401.3037,3.11655,1.1444371,"High-income countries","Developed Countries"
"Austria","AUT",2017,1450.0193,235.63521,5416.8936,3.05656,1.2501733,"High-income countries","Developed Countries"
"Austria","AUT",2018,1438.1228,230.6426,5683.2427,3.09182,1.3572124,"High-income countries","Developed Countries"
"Austria","AUT",2019,1482.2771,232.65926,5959.55,3.13247,0.6756091,"High-income countries","Developed Countries"
"Austria","AUT",2020,1537.9904,238.44325,5829.8374,3.20149,1.6813501,"High-income countries","Developed Countries"
"Belgium","BEL",2013,1479.6151,64.3955,4188.3374,2.33073,0.08960351,"High-income countries","Developed Countries"
"Belgium","BEL",2016,1459.2408,93.13557,4811.195,2.52338,0.17648038,"High-income countries","Developed Countries"
"Belgium","BEL",2017,1408.6901,87.926636,4757.9253,2.66666,0.17579971,"High-income countries","Developed Countries"
"Belgium","BEL",2018,1412.6315,77.91347,5032.3677,2.86018,0.6999977,"High-income countries","Developed Countries"
"Belgium","BEL",2019,1408.9938,76.10397,5280.422,3.1566,0.17405498,"High-income countries","Developed Countries"
"Belgium","BEL",2020,1471.715,74.556404,5410.832,3.39697,0.519926,"High-income countries","Developed Countries"
"Brazil","BRA",2013,248.00203,24.583364,839.2104,1.19567,0.19649504,"Upper-middle-income countries","Developing Countries"
"Brazil","BRA",2014,254.60974,22.89889,888.46387,1.26971,0.1649298,"Upper-middle-income countries","Developing Countries"
"Bulgaria","BGR",2015,345.2308,38.3076,1939.1442,0.94917,0.13932396,"Upper-middle-income countries","Developing Countries"
"Bulgaria","BGR",2017,403.50967,28.124186,2092.0813,0.73995,0.42398998,"Upper-middle-income countries","Developing Countries"
"Bulgaria","BGR",2018,461.93118,25.290049,2310.6191,0.75379,0.5694156,"Upper-middle-income countries","Developing Countries"
"Bulgaria","BGR",2019,574.4104,26.373491,2391.0247,0.83236,0.43007874,"Upper-middle-income countries","Developing Countries"
"Bulgaria","BGR",2020,590.07355,34.244705,2377.5557,0.84924,1.7306892,"Upper-middle-income countries","Developing Countries"
"Canada","CAN",2013,1699.804,130.24867,4678.2617,1.7054,3.173396,"High-income countries","Developed Countries"
"Canada","CAN",2014,1699.9578,118.57211,4595.6377,1.71417,3.3114195,"High-income countries","Developed Countries"
"Canada","CAN",2015,1694.4133,119.69623,4582.3794,1.69324,5.1164784,"High-income countries","Developed Countries"
"Canada","CAN",2016,1672.6453,112.92166,4428.173,1.72903,9.1876,"High-income countries","Developed Countries"
"Canada","CAN",2017,1656.3774,110.876015,4467.1562,1.68702,11.383241,"High-income countries","Developed Countries"
"Canada","CAN",2018,1675.637,117.428635,4758.1025,1.7372,18.152569,"High-income countries","Developed Countries"
"Canada","CAN",2019,1672.132,112.94531,4894.2075,1.75573,19.876701,"High-income countries","Developed Countries"
"Canada","CAN",2020,1737.2346,117.50204,5076.244,1.89484,22.948818,"High-income countries","Developed Countries"
